lexeme,stem,class
sumbu/,sumbu,aye
"sulku""mi/+",sulkumi,RED
"su/""'bu/+'bu""",sububu,RED-comp
so/ro/,soro,aye
"si""ya/+ki/+",siyaki,ai
"sirdi""",sirdi,RED
"sinta""li/+",sintali,u-a
"si/""li+ya""",siliya,u
"si/""li/+li""",silili,ai
"si""li+ki""",siliki,ai
"sihi""ri/+",sihiri,RED-e
"siffa""",siffa,oCi
"sifa""",sifa,oCi
"shu'u""mi/+",shuumi,ai
"shu/""ma/""ga""ba/+",shumagaba,anni
"shisshini""ya/+",shisshiniya,u
"shisshike""",shisshike,Cai
"shir+wa""",shirwa,oCi
shinshimi/,shinshimi,RED-comp
"shinshime/me""",shinshimeme,RED-comp
"shink'ime/me""",shinkimeme,RED-comp
"sha/wa""r+a/+ki""",shawaraki,ai
shasshar+i/,shasshari,aye
"sha/sha/""sha/+",shashasha,Cai
"sha""ri/+ri""",shariri,ai
"sha""ri>f",sharif,Cai
"sharha""",sharha,oCi
"sha""ntu/+",shantu,una
"sha/""ma+ki""",shamaki,ai
"sha""lla/+li""",shallali,ai
"sha""ki/+yi""",shakiyi,ai
"sha""k'i/+k'i""",shakiki,ai
"sha/ka/le""",shakale,Cai
"sha""gwa""'ba+'bbe/+",shagwababbe,u
"sha/""gi+r+i/+",shagiri,ai
"sha/'bi""",shabi,Ca
"shabce/ce/""",shabcece,RED-comp
"sha""'a+wa""",shaawa,oCi
"sha'a""ni/+",shaani,RED
"sa/wanya""",sawanya,aye
"saunanta""",saunanta,oCi
"sauga""",sauga,oCi
sau,sau,aye
"sa""ssa+i'ba/+",sassaiba,a-a
"sa/""sa+r+i/+",sasari,u-a
"sar+tse""",sartse,u-a
sar+gami/,sargami,RED-comp
"sar'de""",sarde,u-a
"sa""nsa+nya/+",sansanya,a-a
sanku/,sanku,oCi
"sankace/ce""",sankacece,RED-comp
sanka/,sanka,aye
"sanho""",sanho,una
sangali/,sangali,ai
"sa""ndu/+k'i""",sanduki,ai
"samna""",samna,RED
"samfo""",samfo,una
"sa""mba'da'dda""ki/+",sambadaddaki,ai
"samankace""",samankace,a-u
"sa""ma/+k'a/+k'e""",samakake,Cai
"sa""lka/+",salka,a-i
"sa/li""hi/+",salihi,ai
"sa/""ki/+ki""",sakiki,ai
"sa""ka+ina/+",sakaina,u
sa+iwa/+,saiwa,oCi
saima/,saima,oCi
