lexeme,stem,class
"ko/wa""ne/^",kowane,a-e
"ko/wa""na^",kowana,a-a
"ko/""ta/+",kota,anni
"k'o/""shi+ya""",koshiya,oCi
"ko/re""",kore,Ca
ko/mi/,komi,aye
ko/lo/,kolo,aye
"ko/""gi/+",kogi,una
"ko/fa""",kofa,oCi
"k'o/da""",koda,oCi
ki/ya/shi/,kiyashi,a-u
"kitso""",kitso,RED-e
"ki""ta/+tu+mi/+",kitatumi,ai
"ki/shi""ya/+",kishiya,oCi
kir+fo/,kirfo,a-e
"k'i/r+a""",kira,oCi
"ki/ma""",kima,oCi
killa/,killa,u
"ki""li/>",kili,ai
"ki""la/+bo""",kilabo,Cai
ki/fi/,kifi,aye
"ki""da/humi/+",kidahumi,ai
"ki'da""",kida,RED-e
ke/>ke/>,keke,una
"k'a""zk'a+zna/+",kazkazna,a-a
"ka""wa/+li""",kawali,ai
"k'auye""",kauye,uka
"ka/""tu+ntu+mi/+",katuntumi,ai
"ka""ta/+tu+mi/+",katatumi,ai
"ka""ta+nga+re""",katangare,Cai
"ka""ta+mi/+",katami,u-a
kasko/,kasko,a-e
kasanki/,kasanki,ai
kasangali/,kasangali,ai
"ka/ru""wa^",karuwa,Cai
"kartake/ke""",kartakeke,RED-comp
"ka""ri/+mi""",karimi,ai
kargo/,kargo,a-e
karfu/,karfu,una
k'ar+au,karau,a-e
"ka""r+a+r+r+a+me""",kararrame,Cai
"k'a""r+a+mi/+",karami,ai
kanzagi/,kanzagi,ai
kanya/,kanya,oCi
"kantu""",kantu,una
"ka""nti/+",kanti,una
"kantame/me""",kantameme,RED-comp
kantakarmi/,kantakarmi,ai
k'anshi/,kanshi,ai
kankar+mi/,kankarmi,RED-comp
"kankar+me/me""",kankarmeme,RED-comp
"kangame/me""",kangameme,RED
kandu/,kandu,aye
"ka""ndi/+ri""",kandiri,ai
"kandame/me""",kandameme,RED-comp
"kamu'da""",kamuda,Cai
"ka/mi""li/+",kamili,ai
"ka""mbu/+",kambu,una
"k'a""mbo/""r+i/+",kambori,ai
"kam'bashe/she""",kambasheshe,RED-comp
"kalma""",kalma,oCi
"k'alla""",kalla,u-a
"kalla""bi/+",kallabi,u-a
ka/le/,kale,aye
ka/lai,kalai,aye
"k'a/""k'udu""mi/+",kakudumi,ai
"ka""kka+usa/+",kakkausa,a-a
"ka""kka+ur+a/+",kakkaura,a-a
"k'a""kk'a+r+fa/+",kakkarfa,a-a
"k'a""kk'a+msa/+",kakkamsa,a-a
"kaikaini""ya/+",kaikainiya,u
"ka/'ida""",kaida,oCi
k'a/guwa/,kaguwa,oCi
"ka/""fa+'da""",kafada,a-u
"k'adangar+e""",kadangare,a-u
"ka""da/+da/+",kadada,a-u
kacau,kacau,a-e
"ka""ca""ka/""m/+",kacakam,Cai
"ka""bi+do""",kabido,Cai
"ka""be/+wa",kabewa,i
"kaba""ri/+",kabari,u-a
"jiro""",jiro,a-a
jir+giya/,jirgiya,RED
jir+gi/,jirgi,a-e
"jir'de/'de""",jirdede,RED-comp
"jinji""r+i/+",jinjiri,ai
"ji/ni""ya/+",jiniya,oCi
"ji/""na+nne/+",jinanne,anni
"jim'bire/re""",jimbirere,RED-comp
"ji/go""",jigo,una
"jigi""li+",jigili,ai
"jiga/r+o""",jigaro,Cai
jibji,jibji,a-e
"jibba""",jibba,oCi
"je/ne/""",jene,Ca
"je/ma/ge/""",jemage,a-u
"je/ji/""",jeji,Ca
jauje/,jauje,Cai
"jauja""u",jaujau,aye
jaujai,jaujai,a-e
"ja/""su/+su""",jasusu,Cai
"ja/""r+i/+r+i""",jariri,ai
janjalo/,janjalo,Cai
"ja""mi/+li""",jamili,ai
"ja""la/+la""",jalala,a-u
"ja""ka/+da""",jakada,a-u
"ja""ka/+",jaka,una
"ja/'i""ri/+",jairi,ai
"jabba""",jabba,oCi
"iza/""ra/+",izara,a-u
"i""ya/+li""",iyali,ai
"iya/""ka/+",iyaka,oCi
"ita/""ce/+",itace,u-a
"ir+i""",iri,u-a
"inuwa""",inuwa,oCi
"i""ngo/+zo/""ma/""",ingozoma,Cai
"i""nda+ra+ro/+",indararo,Cai
"illa""",illa,oCi
"i""kli/+mi""",iklimi,ai
"i""bli/+shi""",iblishi,ai
"i""ba/+da""",ibada,a-u
"'i/ba""",iba,a-u
"hutsuba""",hutsuba,oCi
hu/tsu/,hutsu,aye
huntu/,huntu,aye
hunk'umi/,hunkumi,RED-comp
"hunk'ume/me""",hunkumeme,RED-comp
"hu/""la/+",hula,una
hul,hul,una
"hujja""",hujja,oCi
"hu/""ci/+",huci,ai
"ho/ge""",hoge,Ca
"ho/ce""",hoce,Ca
ho/,ho,Ca
"hirfa""",hirfa,oCi
"himma""",himma,oCi
"hikima""",hikima,oCi
"he/luma""",heluma,oCi
"ha/zi""k'i/+",haziki,ai
hazbiya/,hazbiya,oCi
hawanya,hawanya,aye
"hauce""",hauce,Cai
hatsi/,hatsi,ai
"ha""tsa""bi/+bi""",hatsabibi,ai
"ha/ti""mi/+",hatimi,u-a
"ha/""ta/""ci/+",hataci,u-a
"ha""sa/+ra""",hasara,oCi
"har+gi""",hargi,u-a
"hanya""",hanya,oCi
"ha""ntsa+ki/+",hantsaki,uka
"hanta""",hanta,una
"ha""nka/+ka""",hankaka,a-i
hanji/,hanji,ai
hangar+mi/,hangarmi,ai
"hangar+me/me""",hangarmeme,RED-comp
"hanci""",hanci,una
"hamma""ta/+",hammata,Cai
"hama""tta/+",hamatta,oCi
"halla""mi/+",hallami,u-a
hak'o/r+i/,hakori,Ca
"hakiya""",hakiya,oCi
"ha/ja""",haja,oCi
haiwa/,haiwa,oCi
"hafsa""",hafsa,oCi
"hadar+i""",hadari,u-a
"gyauto""",gyauto,una
"gya""n'da+ma/+",gyandama,u-a
gyandai,gyandai,aye
"gya""mbo/+",gyambo,una
"gwa""rno/+",gwarno,i
gwar+angwami/,gwarangwami,ai
"gwa""nza""ro/+",gwanzaro,Cai
"gwa""nto/""",gwanto,aye
"gwa""nno/+",gwanno,anni
gwanki/,gwanki,RED
gwangwan,gwangwan,aye
"gwandar+e/r+e""",gwandarere,RED-comp
"gwanda""",gwanda,oCi
gwamki/,gwamki,ai
"gwa""ggwa/+'ba/+",gwaggwaba,a-a
"gwaggo""",gwaggo,una
"gwa""fa/+",gwafa,anni
"gwa""'da'dda""shi/+",gwadaddashi,ai
gwabr+o/,gwabro,a-e
gu/ru/,guru,aye
"gur+ma/je""",gurmaje,Cai
"gu/r+i""",guri,RED-e
"gu""ngu""r+u^m",gungurum,RED-id
gungumi/,gungumi,RED-comp
"gungume/me""",gungumeme,RED-comp
"gungume""",gungume,Cai
gunduwa/,gunduwa,oCi
gundur+u/,gunduru,oCi
gundumi/,gundumi,RED-comp
"gundume/me""",gundumeme,RED-comp
"gunda""",gunda,RED
"guna""",guna,oCi
gulbi/,gulbi,a-e
"gula""",gula,oCi
gujiya/,gujiya,aye
gujib,gujib,RED-id
"gu""ja+jje/+",gujajje,u
"gu/""ga/+",guga,una
"gu""du+ngu+mi/+",gudungumi,ai
gudi/di/,gudidi,RED-comp
"guddu""gi/",guddugi,ai
gu'ddu/,guddu,Cai
"gubbi""",gubbi,u-a
"gu""bba/+ri/+",gubbari,ai
"gubba""",gubba,oCi
"guba""",guba,a-i
go/to/,goto,aye
"go/r+a""",gora,oCi
go/lo/,golo,aye
"gizo""gi+zo""",gizogizo,Cai
gi/wa/,giwa,aye
"gitta""",gitta,oCi
"gi""tsa/+wa""",gitsawa,oCi
gishir+l,gishirl,aCe
"gi""r+i""bta+cce/+",giribtacce,i
"gir'de/'de""",girdede,RED-comp
"gi""r+a/+ya/+",giraya,a-u
ginshimi/,ginshimi,RED-comp
"ginshime/me""",ginshimeme,RED-comp
"gi""nshi+k'i""",ginshiki,ai
"gi""ndi""ndi""n",gindindin,RED
"gindime/me""",gindimeme,RED-comp
"gi""ndi/+",gindi,Ca
"gilibe""",gilibe,Ca
"giginya""",giginya,RED
"gidibi""",gidibi,Ca
"gi""dauni""ya/+",gidauniya,i
"ge/za""",geza,oCi
"ga""wa+sa""",gawasa,a-u
"ga""ur+a/+ka""",gauraka,a-i
gaula/,gaula,aye
"ga/""ta+r+i/+",gatari,RED
gar+wa/,garwa,a-i
"ga/""ru/+",garu,uka
"gar+ma/je""",garmaje,Cai
"ga""ri/+fi""",garifi,ai
"ga""ri/+bi""",garibi,ai
"gar+ge""",garge,u-a
"ga/""re/""",gare,uka
"gardi""",gardi,awa
"ga""r+a/+ya/+",garaya,a-u
"ga""r+a""nho/tsa""mi/+",garanhotsami,ai
"ga""r+a""ngar+a""mi/+",garangarami,ai
"ga""r+a""mbu+wa/+",garambuwa,i
gansak'i/,gansaki,RED-comp
"gansak'e/k'e""",gansakeke,RED-comp
"ganji""",ganji,u-a
"gangi""",gangi,una
"gangar+me/me""",gangarmeme,RED-comp
gandu/,gandu,aye
"gandare/re""",gandarere,RED-comp
gandami/,gandami,RED-comp
"gandame/me""",gandameme,RED-comp
"ga""nda""m",gandam,RED-comp
gamsak'i/,gamsaki,RED-comp
gammo/,gammo,aye
"ga""la/""di/+ma""",galadima,oCi
ga>iwa/+,gaiwa,oCi
gaisuwa/,gaisuwa,RED-e
"ga/go""",gago,Ca
"ga""gga+usa/+",gaggausa,a-a
"ga/""ga/r+u""mi/+",gagarumi,ai
"gafiya""",gafiya,oCi
"gafaka""",gafaka,oCi
"ga/di""ri/+",gadiri,ai
"gaddama""",gaddama,a-i
"ga""da+wa""",gadawa,awa
"gabo""",gabo,RED
"gabje/je""",gabjeje,RED-comp
"furtu""mi/+",furtumi,u-a
"fu""r+e/+",fure,anni
"fi/""ti/+ti""",fititi,RED-comp
fi/ri/ri/,firiri,RED-comp
fir'dimi/,firdimi,RED-comp
"fir'dime/me""",firdimeme,RED-comp
"fir'de/'de""",firdede,RED-comp
"fi/r+a""",fira,oCi
"fi""nti""ki/+ri""",fintikiri,ai
"fi""nja/+li""",finjali,ai
fingili/,fingili,RED-comp
"fi""lilli""ki/+",fililliki,ai
fi/li/,fili,aye
"fika/""fi+ki/+",fikafiki,ai
"fi/k'a""",fika,oCi
"fa/""tu+ma""",fatuma,oCi
fatsi/,fatsi,a-e
"fatauci""l",fataucil,RED-e
"fa/si""ki/+",fasiki,ai
farke/,farke,a-e
"fa""ri+lla""",farilla,RED
"fa""rfa/+da",farfada,a-a
"far+ce""",farce,u-a
faram,faram,RED-id
"fa""nka""sha/+li""",fankashali,ai
fankami/,fankami,RED-comp
"fa""mfa""r+a+r+r+e/+",famfararre,RED
falke/,falke,a-e
"fa""k'i/+ri""",fakiri,ai
"fa/ji""ri/+",fajiri,ai
"fa/'ida""",faida,oCi
fage/,fage,a-e
"fa'da""",fada,RED-e
"'duwa/""wu/+",duwawu,a-a
"'duwaini""ya/+",duwainiya,Cai
'duwai,duwai,Ca
"dur+u""mi/+",durumi,RED
"durja""",durja,oCi
"du/ni""ya""",duniya,oCi
"du""nhu/+",dunhu,una
"du""ngu+",dungu,una
"dundu""r+u/+su""",dundurusu,Cai
dum'bu/,dumbu,aye
duma/,duma,a-e
du/lu/,dulu,aye
"duldule""",duldule,Cai
"du""k'u+shi/+",dukushi,ai
"du""k'urk'u""shi/+",dukurkushi,ai
"du""k'urk'u""ri/+",dukurkuri,ai
"du""kki/+",dukki,oCi
"duhu""",duhu,Cai
"'do/""r+o/+wa""",dorowa,oCi
"'do/r+i""",dori,RED-e
"'do/""r+a+wa""",dorawa,a-i
do/lo/,dolo,aye
"do/""ka/+",doka,oCi
"dirka""",dirka,oCi
dinkir+i/,dinkiri,ai
"'di""ngimgi""mi/+",dingimgimi,RED-comp
"'din'dime/me""",dindimeme,RED-comp
"di/ma/jo""",dimajo,Cai
"di""lla/+li""",dillali,ai
'digo/,digo,RED-e
"diga/""di+gi/+",digadigi,RED
di/,di,ai
"daushar+e/r+e""",dausharere,RED-comp
"'da""usha/+",dausha,RED-comp
"dauji""",dauji,u-a
"'da/""shi+ya""",dashiya,u
"dashi""",dashi,RED-e
"darto""",darto,a-a
"da""rni/+",darni,uka
"darha""mi/+",darhami,oCi
dar+e/,dare,RED
"dara""si/+",darasi,ai
'daras,daras,Cai
"dara""ki/+",daraki,ai
'danye/,danye,u
'danuwa,danuwa,u-a
"'danu""ba/+",danuba,u-a
"'da""nu+",danu,u-a
dantse,dantse,RED
"dankwara""",dankwara,oCi
"dangwa""li/+",dangwali,RED
"'da""nga""rafa+i",dangarafai,u-a
damo/,damo,a-e
"da/""mi+sa""",damisa,oCi
"da""mf+a+mi/+",damfami,u-a
"dambilo""",dambilo,oCi
"dambila""m",dambilam,oCi
"da""m'bar'ba""ri/+",dambarbari,RED-comp
"da""lk'a/mu""shi/+",dalkamushi,ai
"da""li/+li""",dalili,ai
"dala""",dala,oCi
dak'walwa/,dakwalwa,aCe
"da""ki/+ki""",dakiki,ai
"da/'ira""",daira,oCi
"'da/hi""ri""",dahiri,ai
"'da""gwargwa""shi/+",dagwargwashi,ai
"da/gu""mi/+",dagumi,u-a
"da/gi""",dagi,una
"dagaci""",dagaci,ai
"dafki""",dafki,RED-e
da/'di/,dadi,ai
"da""dda+una/+",daddauna,a-a
"da/'bu""r+i/+",daburi,oCi
"dabi/no""",dabino,Cai
da>bgi/+,dabgi,u-a
"da>bda+la/""",dabdala,oCi
"da""'ba/+shi+r+i/+",dabashiri,ai
da'bas,dabas,RED-id
"da""'bar'ba""shi/+",dabarbashi,ai
"daba""gi/+",dabagi,u-a
"cu/""ta/+",cuta,RED
"ci""ya/+wa""",ciyawa,RED
ciro/k/,cirok,RED-comp
cir+o/,ciro,RED-comp
"ci""nna/+ka""",cinnaka,a-u
ce/iya/,ceiya,RED
"ca""zbi/+",cazbi,una
"ca""rki/+",carki,una
"ca""rarra""shi/+",cararrashi,RED-comp
"camfi""",camfi,RED
"ca""ma+nka+shi/+",camankashi,ai
"ca/""ki+r+i/+",cakiri,ai
"ca""ka+nsa+mi/+",cakansami,ai
"bu/""zu/+zu""",buzuzu,RED
buzur+wa/,buzurwa,oCi
bu/zu/,buzu,RED
"bu""tu""lu/+",butulu,Cai
"bu/""tsu/""tsu/^",butsutsu,RED-comp
"bu/ta""",buta,oCi
"buru""ji/+",buruji,ai
'burtuki/,burtuki,RED-comp
"'burtuke/ke""",burtukeke,RED-comp
"bu+r+me/me""",burmeme,RED-comp
"'bu""r+gwi/^",burgwi,RED-id
"'bur+gushe""",burgushe,RED
"bu""r+gu+ma/+",burguma,RED
"'bur+guje""",burguje,RED
"bur+ga/mi""",burgami,RED
"burdu""mi/+",burdumi,RED
"bu""nu/+",bunu,u-a
bungu/,bungu,aye
"bundume/me""",bundumeme,RED-comp
"bu""mbu/+",bumbu,una
'bulluki/,bulluki,RED-comp
"bulla""m",bullam,oCi
"bulku""mi/+",bulkumi,ai
"bu""lk'a+kk'e/+",bulkakke,i
"bu""lbu""'di/+",bulbudi,RED
"bukka""",bukka,oCi
"bu""ka/+ri/+",bukari,ai
"buhu""ma/+",buhuma,u-a
"bu""du+r+wa/+",budurwa,RED
"bu""duddu""gi/+",bududdugi,ai
"'bu'bbuke/ke""",bubbukeke,RED-comp
"bo/""yi/+",boyi,RED-id
"'bo/ta""",bota,RED
"bo/r+a""",bora,oCi
bo/ka/l,bokal,aye
"bo/""da/+r+i/+",bodari,ai
"bo/da""mi""",bodami,ai
bo/buwa/,bobuwa,oCi
"bishiya""",bishiya,oCi
birni/,birni,a-e
"bir+i""",biri,RED
"bir+ga/mi""",birgami,RED
"binjima""",binjima,oCi
"bindiga""",bindiga,oCi
"biki""ra/+",bikira,oCi
"bi""ki/+",biki,u-a
"bi""ka/+",bika,a-e
"bi""ji+mi/+",bijimi,ai
"bi""gi/""mi/+",bigimi,ai
"bi""ge/+",bige,u-a
"bi/""ga/+",biga,oCi
"bi'di'a""",bidia,RED
"bi/""ci""lmi/+",bicilmi,ai
"be/ra""",bera,oCi
be/ne/,bene,aye
be/guwa/,beguwa,oCi
"be/""ge/+",bege,anni
be/be/,bebe,aye
"Ba""-zazza""gi/+",Ba-zazzagi,awa
"ba""zawa""r+i/+",bazawari,awa
"ba""za""wa/+r+a/+",bazawara,awa
"ba""-za/""ma""ni/+",ba-zamani,awa
"ba""za+jje/+",bazajje,RED
"ba""-ya>mmi/+",ba-yammi,awa
"Ba""-Ya+hu/+di""",Ba-Yahudi,awa
"ba/wa""",bawa,RED
'bauna/,bauna,RED
"ba""uba/+wa""",baubawa,RED
"ba""-tu/+re""",ba-ture,RED
"ba""tu/+",batu,u-a
"batta""ri/+",battari,ai
"batta""",batta,oCi
"batsiya""",batsiya,RED
"ba""-ta+uye""",ba-tauye,aye
"ba/su""ma""",basuma,oCi
"ba""si+lla/+",basilla,RED
"ba""-sa+r+ke""",ba-sarke,awa
"ba""-sa+r+a/+ke""",ba-sarake,RED
"ba""-sa""mba/""ni/+",ba-sambani,awa
"Ba""-sa+kkwa+ce""",Ba-sakkwace,awa
"ba""-sa+kka+r+e""",ba-sakkare,awa
"ba/""r+i+nje""",barinje,awa
"ba""rgo/+",bargo,RED
"'ba/+r+e/""wa/+",barewa,i
barde/,barde,RED
"'ba""r+a/+wo""",barawo,RED
"ba""r+a+nda+mi+",barandami,ai
"'ba""r+aka""",baraka,RED
"Ba""-ra+ha/+je""",Ba-rahaje,awa
"ba""nte/+",bante,una
bank'wali/,bankwali,RED
"bank'wale/le""",bankwalele,a-i
"banki""l",bankil,RED
bankami/,bankami,RED-comp
bankame/me,bankameme,RED-comp
'bangwali/,bangwali,RED-comp
'bango/r+i/,bangori,ai
bango/,bango,aye
"'bangar+e/r+e""",bangarere,RED-comp
"'ba""nga+r+a/""",bangara,RED
"ba""nga/+",banga,una
"ba""-nasa/re""",ba-nasare,a-a
ba/mi/,bami,aye
"bambar+me/me""",bambarmeme,RED-comp
"Ba""-ma/""li""ki/+",Ba-maliki,awa
"Ba""-ma/guje""",Ba-maguje,awa
"ba/li""gi/+",baligi,ai
"ba""li/+di""",balidi,ai
"ba>lbe/+la""",balbela,u
"Ba""-la/+ra+be""",Ba-larabe,awa
"ba""la+mi/+",balami,ai
"ba""-kwa/ya""mi/+",ba-kwayami,awa
"ba""-kwa+ni/""ke""",ba-kwanike,awa
"ba""-ku+r+me""",ba-kurme,awa
"ba/""k'o/+",bako,a-i
"ba""-k'a+uye""",ba-kauye,awa
"ba""ka""ra/+re/+",bakarare,Ca
"Ba""-ka+no""",Ba-kano,awa
"ba/""ka""nce/+",bakance,Cai
"Ba""-ka/+di+re""",Ba-kadire,awa
"ba""ji+mi/+",bajimi,ai
"ba""ja+jje/+",bajajje,u
baiwa/,baiwa,RED
"baiti""",baiti,RED
"ba""hi/+li""",bahili,ai
"ba""-ha+ushe""",ba-haushe,awa
"ba""-ha+go""",ba-hago,RED
"Ba""-gwa/+r+i/+",Ba-gwari,awa
"Ba""-go/""bi+ri/+",Ba-gobiri,awa
"ba""-gi+nde""",ba-ginde,awa
"ba""gida/je""",bagidaje,awa
'bagi/,bagi,awa
"ba""ga/""r+u/+wa/+",bagaruwa,a-i
"ba-gar+e""",ba-gare,Ca
"Ba""-filla/ta""ni/+",Ba-fillatani,RED
"Ba""-fi+lla/+ce""",Ba-fillace,RED
"ba""-fa+ta/+ke""",ba-fatake,a-e
"ba""-fa/+da""",ba-fada,RED
"ba""-du/+-ku""",ba-du-ku,RED
"badare""",badare,Cai
"ba""-cu/+ca+ne""",ba-cucane,awa
"ba""-bu/+de""",ba-bude,awa
"ba/bu""",babu,awa
"ba/bi""",babi,oCi
"ba/be""",babe,Ca
"ba""-ba+rkwa+ne""",ba-barkwane,awa
"Ba""-ba+r+ba+r+e""",Ba-barbare,a-i
"ba""-ba+ne""",ba-bane,awa
"ba""-ba+mba+'de""",ba-bambade,awa
"ba""-a+ja+na+be""",ba-ajanabe,RED
"azzi""ki/+",azziki,uka
"azza/lu""mi/""",azzalumi,ai
"azu""rfa/+",azurfa,oCi
"a""zu/+ji/+",azuji,ai
azar+gagi/,azargagi,ai
"azara""ci/+",azaraci,ai
"aza/""ra/+",azara,RED
azanci/,azanci,RED
"a""za+jje/+",azajje,RED
"a""za/+ba""",azaba,RED
"a/ya""ri/+",ayari,oCi
"aya""",aya,oCi
"a""wa+za""",awaza,RED
"a""wa+iki""",awaiki,ai
"a""wa/+",awa,Cai
aur+e/,aure,a-i
"a""tu""rku""ma/+mi/+",aturkumami,ai
"a""tta/ji""ri/+",attajiri,ai
"asuru""mi/+",asurumi,RED
"asuma/""ri/+",asumari,ai
"asulku""mi/+",asulkumi,u-a
"aska""r",askar,awa
aska/,aska,RED
"a""si/+ri/+",asiri,RED
"a/si""bi/+",asibi,ai
"a""sha""ra/+ru""",ashararu,Cai
"a""sa/ri""ki/+",asariki,ai
asali/,asali,ai
"asala""ki/+",asalaki,RED
"asa/""ki/+",asaki,ai
"asaba""ri/+",asabari,RED
"arne""",arne,Ca
ar+kwar+ar+o/,arkwararo,Cai
arko/mi/,arkomi,ai
"a""rki+lla/+",arkilla,u
"ara""s",aras,Cai
"anya""",anya,oCi
"anne""",anne,Ca
"a""nna""mi/+mi""",annamimi,ai
"a""nna+bi""",annabi,awa
ani/ni/,anini,ai
"ango/""",ango,RED
andi/ra/,andira,Cai
"amya""",amya,oCi
"amu/ni""ya/+",amuniya,Cai
"a""mi/+ni""",amini,ai
amar+ya/,amarya,aCe
"ama/le""",amale,Cai
"a""l'u+mma""",alumma,RED
alumbuki/,alumbuki,ai
"a""lmu""ba""zza""ri/+",almubazzari,ai
"a""lmaka""shi/+",almakashi,ai
"a""lma/ji""ri/+",almajiri,ai
"a""llu/+ra""",allura,Cai
"a""llo/+",allo,una
"a""lkya+bba""",alkyabba,u
alkwar+ar+o/,alkwararo,Cai
"a""l-ku""r'a>n",al-kuran,Cai
"a""lku/+ki""",alkuki,ai
"a""lkidi""ri/+",alkidiri,ai
"a""lka/wa""ri/+",alkawari,RED
"a""lka+rya""",alkarya,RED
"a""lka/+li/+",alkali,ai
"a""lkala""mi/+",alkalami,RED
"a""lji/+hu/+",aljihu,Cai
"a""lja+n",aljan,RED
"a""li/+fi""",alifi,ai
"a""li>f",alif,Cai
"a""lha+ki/+",alhaki,uka
"a""lhaji""",alhaji,RED
"a""lha/'i""ni/+",alhaini,ai
"a""lgwara""mi/+",algwarami,a-u
"a""lgungu""mi/+",algungumi,ai
"a""lga+za+ru""",algazaru,Cai
"alga""shi/+",algashi,ai
"a""lga+ita""",algaita,RED
"a""lga+bba""",algabba,u
"a""lfa+da+ri/+",alfadari,RED
"a""lba+sa""",albasa,oCi
"a""lba+rka""",albarka,Cai
"a""lba+da""",albada,RED
"a""l'a""mu/+di""",alamudi,ai
"a""l'ama""ri/+",alamari,RED
"a""la/+ma""",alama,RED
"alalla""mi/+",alallami,ai
"a""l'aja""bi/+",alajabi,RED
"a""l'a/+da""",alada,RED
"a""kwi+ya""",akwiya,RED
"a""kwa/""tu>",akwatu,RED
"a""kwai",akwai,RED
"aku""shi/+",akushi,u-a
akur+ki/,akurki,ai
"akuma/""ri/+",akumari,ai
"a""ka/""wu/+",akawu,RED
"akawa""l",akawal,Cai
akaifa/,akaifa,u
"a""ju/+za/+",ajuza,Cai
"a""ji/+za/+",ajiza,Cai
"a""ji+ya""",ajiya,RED-e
"aja""li""",ajali,u-a
"aibi""",aibi,RED
"aho/la""ki/+",aholaki,ai
"a/ho/""la/+",ahola,Cai
"a""gwa/""gwa/+",agwagwa,a-i
agwada/,agwada,oCi
"ago/""la""",agola,RED
"ago/fa""ta""",agofata,RED
"a""go/+",ago,anni
"agi/gi""",agigi,RED
"aga""r+a/+",agara,RED
"agani""ya/+",aganiya,oCi
"agala""mi/+",agalami,u-a
"a""fa""ta""",afata,oCi
"aduwa""",aduwa,RED
"a""du""du""",adudu,Cai
"a""di+rsa""",adirsa,Cai
"a""di/+la""",adila,RED
"a""di/+ko""",adiko,RED
"a""ddu/+'a""",addua,oi
"a""dda""ra""ki/+",addaraki,ai
"a""dda""k'i/+r+i""",addakiri,ai
"a""dda+ka""",addaka,RED
"a""dda/+",adda,una
"a/da""li/+",adali,ai
"a""da+ka""",adaka,RED
"a""da""di/+",adadi,ai
"a""da""da""",adada,Cai
"a""bo/+ki/+",aboki,RED
