lexeme,stem,class
amortizar,amortiz,ar-regular
amotinar,amotin,ar-regular
amparar,ampar,ar-regular
ampliar,ampli,ar-regular
amplificar,amplific,ar-regular
amputar,amput,ar-regular
amueblar,amuebl,ar-regular
amurallar,amuraL,ar-regular
analizar,analiz,ar-regular
anclar,ancl,ar-regular
andar,and,ar-regular
anegar,aneg,ar-regular
anestesiar,anestesi,ar-regular
anexar,anex,ar-regular
anexionar,anexion,ar-regular
angostar,angost,ar-regular
angustiar,angusti,ar-regular
anhelar,anel,ar-regular
anidar,anid,ar-regular
anillar,aniL,ar-regular
animar,anim,ar-regular
aniquilar,anicil,ar-regular
anonadar,anonad,ar-regular
anotar,anot,ar-regular
ansiar,ansi,ar-regular
anticipar,antizip,ar-regular
anular,anul,ar-regular
anunciar,anunzi,ar-regular
apaciguar,apazigu,ar-regular
apadrinar,apadrin,ar-regular
apagar,apag,ar-regular
apalancar,apalanc,ar-regular
apalear,apale,ar-regular
aparar,apar,ar-regular
aparcar,aparc,ar-regular
aparear,apare,ar-regular
aparejar,aparej,ar-regular
aparentar,aparent,ar-regular
apartar,apart,ar-regular
apasionar,apasion,ar-regular
apear,ape,ar-regular
apedrear,apedre,ar-regular
apelar,apel,ar-regular
apenar,apen,ar-regular
apestar,apest,ar-regular
apilar,apil,ar-regular
aplacar,aplac,ar-regular
aplanar,aplan,ar-regular
aplastar,aplast,ar-regular
aplazar,aplaz,ar-regular
aplicar,aplic,ar-regular
apodar,apod,ar-regular
apoderar,apoder,ar-regular
apoquinar,apocin,ar-regular
aporrear,apoRe,ar-regular
aportar,aport,ar-regular
aposentar,aposent,ar-regular
apostar,apost,ar-ue
apoyar,apoL,ar-regular
apreciar,aprezi,ar-regular
apremiar,apremi,ar-regular
apresar,apres,ar-regular
aprestar,aprest,ar-regular
apresurar,apresur,ar-regular
apretar,apret,ar-ie
aprisionar,aprision,ar-regular
aprobar,aprob,ar-ue
apropiar,apropi,ar-regular
aprovechar,aprobeC,ar-regular
aproximar,aproxim,ar-regular
apuntalar,apuntal,ar-regular
apuntar,apunt,ar-regular
apurar,apur,ar-regular
aquejar,acej,ar-regular
aquietar,aciet,ar-regular
arbitrar,arbitr,ar-regular
arbolar,arbol,ar-regular
arcar,arc,ar-regular
archivar,arCib,ar-regular
arengar,areng,ar-regular
argumentar,argument,ar-regular
armar,arm,ar-regular
armonizar,armoniz,ar-regular
aromatizar,aromatiz,ar-regular
arquear,arce,ar-regular
arraigar,aRaig,ar-regular
arrancar,aRanc,ar-regular
arrasar,aRas,ar-regular
arrastrar,aRastr,ar-regular
arrear,aRe,ar-regular
arreciar,aRezi,ar-regular
arreglar,aRegl,ar-regular
arrendar,aRend,ar-ie
arrestar,aRest,ar-regular
arriar,aRi,ar-regular
arribar,aRib,ar-regular
arriesgar,aRiesg,ar-regular
arrimar,aRim,ar-regular
arrinconar,aRincon,ar-regular
arrojar,aRoj,ar-regular
arrollar,aRoL,ar-regular
arrugar,aRug,ar-regular
arruinar,aRuin,ar-regular
articular,articul,ar-regular
asalariar,asalari,ar-regular
asaltar,asalt,ar-regular
asear,ase,ar-regular
asediar,asedi,ar-regular
asegurar,asegur,ar-regular
asemejar,asemej,ar-regular
asentar,asent,ar-ie
asesinar,asesin,ar-regular
asesorar,asesor,ar-regular
asestar,asest,ar-regular
aseverar,aseber,ar-regular
asfaltar,asfalt,ar-regular
asfixiar,asfixi,ar-regular
asignar,asign,ar-regular
asilar,asil,ar-regular
asimilar,asimil,ar-regular
asociar,asozi,ar-regular
asolar,asol,ar-ue
asomar,asom,ar-regular
asombrar,asombr,ar-regular
aspirar,aspir,ar-regular
astillar,astiL,ar-regular
asustar,asust,ar-regular
atacar,atac,ar-regular
atajar,ataj,ar-regular
atalayar,atalaL,ar-regular
atarear,atare,ar-regular
atascar,atasc,ar-regular
atemorizar,atemoriz,ar-regular
atemperar,atemper,ar-regular
atenazar,atenaz,ar-regular
atentar,atent,ar-regular
atenuar,atenu,ar-regular
aterrar,ateR,ar-ie
aterrizar,ateRiz,ar-regular
aterrorizar,ateRoriz,ar-regular
atesorar,atesor,ar-regular
atestar,atest,ar-ie
atestiguar,atestigu,ar-regular
atinar,atin,ar-regular
atisbar,atisb,ar-regular
atizar,atiz,ar-regular
atorar,ator,ar-regular
atormentar,atorment,ar-regular
atosigar,atosig,ar-regular
