stem,lexeme,class
gruzovjik,грузовйик,ok
gud,гуд,ok
gul,гул,ik
gusar,гусар,ik
gusj,гусй,ik
guzh,гуж,ik
gvozdj,гвоздй,ik
idjiot,идйиот,ik
idol,идол,chik
il,ил,chik-ok
intjelljigjent,интйеллйигйент,ik
ion,ион,ik-ok
ishak,ишак,ok
istukan,истукан,chik
iznos,износ,ok
jad,яд,ok
jal,ял,ik
jam,ям,ok
jar,яр,ik-ok
jarlik,ярлик,ok
jas,яс,ok
jastrjeb,ястрйеб,ok
jaz,яз,ok
jazik,язик,ok
jazj,язй,ik
jer,йер,ok
jerj,йерй,ik
jevrjej,йеврйей,chik
jorsh,йорш,ok
jur,юр,chik-ik-ok
jus,юс,ok
jut,ют,ok
juz,юз,ik
kabak,кабак,ok
kaban,кабан,chik-ok
kabjinjet,кабйинйет,ik
kabluk,каблук,ok
kadjet,кадйет,ik
kadr,кадр,ik
kaftan,кафтан,chik
kal,кал,ik
kalachj,калачй,ik
kaljendarj,калйендарй,ik
kaljin,калйин,ik-ok
kalmik,калмик,ok
kamish,камиш,ok
kanal,канал,chik
kanat,канат,ik
kanon,канон,ik
kant,кант,ik
kap,кап,ok
kapjitaljist,капйиталйист,ik
kapkan,капкан,chik
karabjin,карабйин,chik
karandash,карандаш,ik
karapuz,карапуз,ik
karasj,карасй,ik
karman,карман,chik
karnjiz,карнйиз,ik
karp,карп,ik
kartuz,картуз,ik
kat,кат,ik-ok
katish,катиш,ok
katjer,катйер,ok
kazak,казак,ok
kazan,казан,ok
kjij,кйий,ik
kjilj,кйилй,ik
kjilogramm,кйилограмм,chik
kjinzhal,кйинжал,chik
kjirpjichj,кйирпйичй,ik
kjit,кйит,ik
klad,клад,ok
klass,класс,ik
klik,клик,ok
kljap,кляп,ik
kljer,клйер,ik
kljeshshj,клйешшй,ik
kljin,клйин,ok
kljir,клйир,ik
kljon,клйон,ok
kljov,клйов,ok
kljuchj,ключй,ik-ok
kljuv,клюв,ik
klok,клок,ok
klop,клоп,ik
klub,клуб,ok
klubok,клубок,ok
knut,кнут,ik
kochjan,кочян,chik-ok
kochjet,кочйет,ok
kok,кок,ok
kokon,кокон,chik
kol,кол,chik-ik-ok
koldun,колдун,ok
kolob,колоб,ok
kolokol,колокол,chik
kolon,колон,ok
kolos,колос,ok
kolpak,колпак,ok
kolxoz,колхоз,ik
kom,ком,ik-ok
komar,комар,ik-ok
komjissar,комйиссар,ik
komod,комод,ik
kon,кон,chik-ik-ok
konjets,конйетс,ik
konjux,конюх,ok
konoval,коновал,chik
konvjert,конвйерт,ik
kopil,копил,ok
kopt,копт,ik
korablj,кораблй,ik
kord,корд,ik
korjets,корйетс,chik-ik
korjidor,корйидор,chik
korm,корм,ik
korn,корн,ik
korob,короб,ok
kort,корт,ik
korzh,корж,ik
kosarj,косарй,ik
kosh,кош,ok
koshmar,кошмар,ik
kosjak,косяк,ok
kostjerj,костйерй,ik
kostjor,костйор,ok
kostjum,костюм,chik
kot,кот,ik-ok
kotjol,котйол,ok
kottjedzh,коттйедж,ik
kovjor,ковйор,ik
kovsh,ковш,ik
kozhan,кожан,ok
kozhux,кожух,ok
kozjol,козйол,ik-ok
kozon,козон,ok
krab,краб,ik
kran,кран,ik
krasavjets,красавйетс,chik-ik
krat,крат,ok
krjak,кряк,ok
krjazh,кряж,ik-ok
krjep,крйеп,ok
krjest,крйест,ik
krjistall,крйисталл,ik
krjuk,крюк,ok
krokodjil,крокодйил,chik
krolj,кролй,ik
kron,крон,ik
krot,крот,ik-ok
krug,круг,ok
krugljash,кругляш,ok
kub,куб,ik-ok
kubarj,кубарй,ik
kuchjer,кучйер,ok
kulak,кулак,ok
kulj,кулй,ik
kuljichj,кулйичй,ik-ok
kuljt,кулйт,ik
kum,кум,ok
kumjir,кумйир,chik
kun,кун,ik
kupjets,купйетс,chik-ik
kupol,купол,ok
kur,кур,chik-ik-ok
kurgan,курган,chik
kurs,курс,ik
kus,кус,ik-ok
kusok,кусок,ok
kust,куст,ik
kut,кут,ik-ok
kuvshin,кувшин,chik
kuzov,кузов,ok
kvadrat,квадрат,ik
kvas,квас,ok
kvjit,квйит,ok
lad,лад,ik-ok
lak,лак,ok
lan,лан,chik-ok
larj,ларй,ik
larjets,ларйетс,chik-ik
last,ласт,ik
lavr,лавр,ik
laz,лаз,ok
ljad,ляд,ok
ljax,лях,ok
ljedjenjets,лйедйенйетс,chik-ik
ljednjik,лйеднйик,ok
ljejtjenant,лйейтйенант,ik
ljemjex,лйемйех,ok
ljen,лйен,chik-ik
ljenchj,лйенчй,ik
ljes,лйес,ik-ok
ljeshshj,лйешшй,ik
ljesovjik,лйесовйик,ok
ljetopjisjets,лйетопйисйетс,ik
ljev,лйев,chik-ik-ok
ljif,лйиф,chik
ljiljiput,лйилйипут,ik
ljimon,лйимон,chik
ljis,лйис,ik-ok
ljist,лйист,ik-ok
ljistok,лйисток,ok
ljod,лйод,ok
ljon,лйон,ok
ljot,лйот,ok
ljubjimjets,любйимйетс,chik-ik
ljud,люд,ik-ok
ljuk,люк,ok
lob,лоб,ik-ok
loban,лобан,chik-ok
log,лог,ik-ok
logist,логист,ik
lokon,локон,chik
lom,лом,ik-ok
lopux,лопух,ok
losj,лосй,ik
loskut,лоскут,ik-ok
lot,лот,ok
lov,лов,ik-ok
lox,лох,ok
lub,луб,ok
luchj,лучй,ik
lug,луг,ok
luk,лук,ok
lunj,лунй,ik
mag,маг,ik
magazjin,магазйин,chik
magnjit,магнйит,ik
majak,маяк,ok
mak,мак,ok
maksjim,максйим,ok
malish,малиш,ok
maljar,маляр,ik
maljets,малйетс,chik-ik
marshal,маршал,ok
mashtak,маштак,ok
massjiv,массйив,chik
mastjer,мастйер,ok
mat,мат,ik-ok
matchj,матчй,ik
matras,матрас,ik
matros,матрос,ik
mavr,мавр,ik
max,мах,ok
maxovjik,маховйик,ok
maz,маз,ik-ok
mis,мис,ik-ok
mjachj,мячй,ik-ok
mjechj,мйечй,ik
mjedaljjon,мйедалййон,chik
mjedvjedj,мйедвйедй,ik
mjel,мйел,ik-ok
mjenjshevjik,мйенйшевйик,ok
mjerjin,мйерйин,ok
mjerzavjets,мйерзавйетс,chik-ik
mjetall,мйеталл,ik
mjetalloplast,мйеталлопласт,ik
mjetatsentr,мйетатсентр,ik
mjetod,мйетод,ik
mjetr,мйетр,ik
mjex,мйех,ok
mjilljion,мйиллйион,chik
mjindalj,мйиндалй,ik
mjir,мйир,ok
mjiron,мйирон,chik
mjizjinjets,мйизйинйетс,chik-ik
mjod,мйод,ok
mladjenjets,младйенйетс,chik-ik
mol,мол,ik
molodjets,молодйетс,ik
molot,молот,ok
monstr,монстр,ik
mops,мопс,ik
mor,мор,ok
morgun,моргун,ok
morjak,моряк,ok
mosol,мосол,ok
most,мост,ik-ok
mot,мот,ok
motjiv,мотйив,chik
motor,мотор,chik
mox,мох,ok
moxovjik,моховйик,ok
mul,мул,ik
mundjir,мундйир,chik
muzh,муж,ik
muzhik,мужик,ok
muzikant,музикант,ik
nachjin,начйин,ok
naljim,налйим,chik
naplav,наплав,ok
nar,нар,ik-ok
nasad,насад,ok
nasos,насос,ik
njedodjel,нйедодйел,ok
njedoljiv,нйедолйив,ok
njedomjer,нйедомйер,ok
